time,vertical
0,-0.329
0.034,-0.318
0.068,-0.3
0.101,-0.277
0.135,-0.25
0.169,-0.216
0.203,-0.18
0.236,-0.144
0.27,-0.104
0.304,-7.04E-02
0.338,-2.94E-02
0.371,1.10E-02
0.405,5.08E-02
0.439,9.09E-02
0.473,0.129
0.506,0.165
0.54,0.201
0.574,0.234
0.608,0.263
0.641,0.287
0.675,0.305
0.709,0.318
0.743,0.324
0.776,0.327
0.81,0.324
0.844,0.317
0.878,0.303
0.911,0.284
0.945,0.261
0.979,0.235
1.013,0.202
1.046,0.157
1.08,0.12
1.114,7.96E-02
1.148,4.99E-02
1.181,1.26E-02
1.215,-2.91E-02
1.249,-8.01E-02
1.283,-0.119
1.316,-0.153
1.35,-0.184
1.384,-0.213
1.418,-0.237
1.451,-0.257
1.485,-0.273
1.519,-0.286
1.553,-0.29
1.586,-0.29
1.62,-0.288
1.654,-0.28
1.688,-0.268
1.721,-0.254
1.755,-0.228
1.789,-0.202
1.823,-0.175
1.856,-0.146
1.89,-0.114
1.924,-7.96E-02
1.958,-4.31E-02
1.992,-7.97E-03
2.025,2.90E-02
2.059,6.43E-02
2.093,9.91E-02
2.127,0.131
2.16,0.159
2.194,0.183
2.228,0.21
2.262,0.234
2.295,0.251
2.329,0.266
2.363,0.28
2.397,0.282
2.43,0.284
2.464,0.282
2.498,0.273
2.532,0.259
2.565,0.241
2.599,0.216
2.633,0.194
2.667,0.167
2.7,0.143
2.734,8.97E-02
2.768,7.09E-02
2.802,3.56E-02
2.835,-3.86E-03
2.869,-3.93E-02
2.903,-7.62E-02
2.937,-0.108
2.97,-0.138
3.004,-0.164
3.038,-0.187
3.072,-0.208
3.105,-0.226
3.139,-0.239
3.173,-0.248
3.207,-0.26
3.24,-0.26
3.274,-0.256
3.308,-0.248
3.342,-0.235
3.375,-0.217
3.409,-0.197
3.443,-0.174
3.477,-0.149
3.51,-0.123
3.544,-9.36E-02
3.578,-6.32E-02
3.612,-3.15E-02
3.645,-1.06E-03
3.679,3.07E-02
3.713,6.12E-02
3.747,9.02E-02
3.78,0.117
3.814,0.142
3.848,0.165
3.882,0.185
3.915,0.204
3.949,0.219
3.983,0.23
4.017,0.237
4.051,0.241
4.084,0.241
4.118,0.236
4.152,0.227
4.186,0.215
4.219,0.2
4.253,0.181
4.287,0.159
4.321,0.133
4.354,0.105
4.388,7.44E-02
4.422,4.15E-02
4.456,9.23E-03
4.489,-2.22E-02
4.523,-5.48E-02
4.557,-8.57E-02
4.591,-0.115
4.624,-0.142
4.658,-0.167
4.692,-0.189
4.726,-0.206
4.759,-0.219
4.793,-0.229
4.827,-0.235
4.861,-0.237
